id,severity,still_present,audit_valid,effort,recommended_action,current_locus
C01,Major,YES,CONFIRMED,trivial,"[text-only] Swap the wording: ""...by which the spherical (trace) part of the symmetric velocity gradient is removed while its deviatoric part is retained; establishing coercivity then requires a deviatoric Korn-type inequality.""","article.tex:268 — ""finding an alternative to the explicit use of Korn-type inequalities ... may be nontrivial for $\ViscProj=\DPi\SPi$, by which the deviatoric part of the velocity gradient is removed"
C02,Moderate,PARTIALLY,PARTLY_VALID,trivial,"[text-only] Replace the l.249 clause with the single statement $\alpha\in W^{1,\infty}(\Omega)$, $0<\alpha_0\le\alpha(x)\le1$ a.e., and reuse it verbatim at l.467.","article.tex:249 ""We will assume this field to be differentiable, with a uniformly bounded gradient in $\Omega$"" (and $\alpha:\Omega\to(0,1]$) vs article.tex:467 ""We will simply assume $\alpha \in W^{1"
C03,Major,PARTIALLY,PARTLY_VALID,small,"[text-only] Replace the l.268 sentence with: state that general nonlinear well-posedness is outside scope, that the ensuing VMS derivation is formal at this level, that Cocquet et al. prove well-posedness for the DBF specialization under small-data assumptions, and that the rigorous stability/convergence analysis (Lemma:Stability et seq.) concerns only the linearized homogeneous-Dirichlet problem.","article.tex:268 ""We will nonetheless proceed by assuming that the solution always exists, and that uniqueness holds for sufficiently large values of $\nu$ and of $\inf_\Omega\{\alpha\}$.""; also l.254 "
C04,Major,PARTIALLY,PARTLY_VALID,small,"[text-only] Add a half-sentence noting the abstract $\mathcal{D}$ is the pointwise strong-form trace, and that in the weak setting the Dirichlet part acts $\gamma_D:\mathcal{V}_0\to H^{1/2}_{00}(\Gamma_D)^d$ and the Neumann part is the $H^{-1/2}$ traction already introduced at l.465.","article.tex:298-304 abstract op still $\mathcal{D}:\mathcal{X}\to L^2(\partial\Omega)^d$; but article.tex:465 now reads $\boldsymbol{g}\in H^{-1/2}(\Gamma_N)^d$, ""shorthand for the dual of the space $"
C05,Moderate,YES,OPINION,trivial,"[text-only, optional] If adopting the audit's convention, reserve $\langle\cdot,\cdot\rangle$ for duality only and use $(\cdot,\cdot)$ (or an explicit $\int$) for product-integrals; otherwise leave as is — the convention is stated and self-consistent.","article.tex:462 — ""$(\bullet,\bullet)_\omega$"" for the $L^2$ inner product and ""$\langle\bullet,\bullet\rangle_\omega$"" for ""the integral over $\omega$ of the product of two generic functions ... In p"
C06,Moderate,YES,CONFIRMED,trivial,"[text-only] Weaken to: ""...for sufficiently regular advection and reaction data (made precise in the continuity lemma), $\alpha\in W^{1,\infty}(\Omega)$ suffices to render the porosity-dependent terms bounded.""","article.tex:467 — ""We will simply assume $\alpha \in W^{1,\infty}(\Omega)$, which ensures that all the terms on the LHS of \cref{eq:WeakForm} are bounded."""
C07,Major,YES,CONFIRMED,trivial,"[text-only] Replace with: ""Nonhomogeneous Dirichlet data can be treated by a lifting at the formulation level; the stability and convergence analysis below is stated only for homogeneous all-Dirichlet data, and extending it requires tracking the lifting source terms and the weighted-divergence compatibility $\nabla\cdot(\alpha\boldsymbol{a})=0$.""","article.tex:378 — ""here we have considered only homogeneous Dirichlet boundary conditions for simplicity, even though all the developments apply equally to the non-homogeneous case, which can be dealt"
C08,Major,PARTIALLY,ALREADY_ADDRESSED,trivial,"[text-only, optional] Optionally display the fixed-point mass equation, e.g. $\varepsilon(p_h^{m}-p_h^{m-1}) + \nabla\cdot(\alpha\boldsymbol{u}_h^{m}) = 0$, whose fixed point recovers $\nabla\cdot(\alpha\boldsymbol{u}_h)=0$. Otherwise treat as done.","article.tex:463-464 (zero-mean vs ε>0 in $\mathcal{Q}_0$), article.tex:1432 (""the discrete pressure is determined only up to a constant, and on the irregular meshes the manufactured boundary data is m"
C09,Minor,YES,CONFIRMED,trivial,[text-only] Write $\boldsymbol{\sigma}=\sigma I_d$ (or $\sigma\mathbb{I}$).,"article.tex:833 — ""we also consider $\boldsymbol{\sigma} = \sigma \boldsymbol{1}_3$ to be uniform."""
C10,Moderate,YES,CONFIRMED,trivial,"[text-only] Add one sentence after eq:DimensionlessParameters, e.g.: ""We use $\Damk$ for this reaction/Damköhler-type number (a diffusion-to-reaction ratio); it should not be confused with the conventional porous-media Darcy number based on permeability.""","article.tex:986-990 — $\Damk = \sigma L^2/(\alpha_\infty\nu)$ defined and ""$\Reyn,\Damk$ are the Reynolds and the Damk\""ohler numbers, respectively""; no sentence distinguishing it from the conventiona"
