ID,Severity,Area,Rerun_or_Reanalysis,Location,Problem,Required_Action,Text_Only_Fallback
M01,Blocker,Convergence theorem,No numerical rerun; proof rework,"article 965-975; continuity appendix 958-976, 989-1017",The theorem is stated with an elementwise l1 sum although the appendix first derives a sharper weighted l2 quantity; the l1 bound is incorrectly called sharpest.,Retain the weighted l2 quantity through all volume and face estimates if valid; otherwise state the true weaker result and propagate its mesh dependence.,None: this must be mathematically resolved.
M02,Blocker,Robustness analysis,No numerical rerun; derivation rework,article 996-1077,The robustness section replaces local interpolation errors and element sums by undefined global scalar errors.,Define global weighted interpolation functionals and rederive every regime estimate from the final theorem.,Remove detailed optimality/robustness claims if a valid derivation is not supplied.
M03,Major,Robustness algebra,No,article 1043-1053,Eq. 1052 contains the unsupported/dimensionally suspect factor ||a||/sqrt(P).,Replace by ||a|| U/P + 1 and state the additional scaling assumptions used to make it O(1).,Same correction.
M04,Major,Asymptotic interpretation,No,"article 996-1004, 1030, 1054, 1071-1077",Fixed-data h->0 is mixed with Re_h->infinity and Da_h->infinity parameter regimes.,Recast as element-level/pre-asymptotic dominance regimes and state quantifiers.,Remove h->0 language from high-element-number regimes.
M05,Major,Theorem statement,No,article 938-970,The lemmas/theorem are not self-contained; hypotheses and constant dependencies are scattered.,Create standing assumptions and a direct continuous/discrete theorem statement.,None.
M06,Major,Continuity lemma,No,article 956-960; continuity appendix 381-403,Continuity inequalities omit absolute values around B_S.,"Write |B_S(a;U,V)| <= ... throughout.",Same correction.
M07,Minor,Continuity lemma,No,article 956,Typo 'there exist{s}'.,Change to 'there exists'.,Same correction.
M08,Major,Advection hypothesis,No,continuity appendix 173-182,"A previous FE velocity is said to satisfy all advection assumptions trivially, but weighted solenoidality is not automatic.",Separate automatic FE regularity from the additional div(alpha a)=0 assumption.,Same correction.
M09,Major,Porosity dependence,No,article 1075-1077; 1655,"Conclusion says worst degradation alpha0^-1/2, contradicting the alpha0^-1 reaction pressure-gradient estimate.",State the explicit alpha0^-1 exception everywhere the result is summarized.,Same correction.
M10,Moderate,Energy quantity,No,article 944-948,The triple quantity is called a norm without identifying its kernel.,Prove it is a norm under BC/normalization or call it a seminorm.,Rename as mesh-dependent energy seminorm.
C01,Major,Continuous model,No,article 256-268,Text says the deviatoric part is removed although DPi extracts the deviatoric part.,Say the spherical/trace part is removed and identify the Korn-type requirement.,Same correction.
C02,Moderate,Porosity assumptions,No,"article 249, 467; appendix assumptions",Porosity regularity/positivity is stated inconsistently.,"Use alpha in W1,infinity and 0<alpha0<=alpha<=1 consistently; separate mesh resolution.",Same correction.
