id,severity,category,file,location,finding,why_it_matters,required_action,rerun_or_diagnostic
B01,Blocker,Source/build,article_v2(1).tex,1848,"The manuscript inputs continuity_appendix.tex, but the supplied latest proof is continuity_appendix(2).tex.",The submission may compile an obsolete proof or fail.,Rename the latest file or update the input and verify the compiled theorem.,No
B02,Blocker,Source/build,article_v2(1).tex,1844,"The manuscript requests references.bib, but the supplied file is references(4).bib.",The package is not build-complete.,Normalize the bibliography filename.,No
B03,Blocker,Source/build,package,global,"shared.tex, the SIAM class, and bump_plateau.pdf are absent from the supplied package.","A final compilation, page-count, float, and layout audit is impossible.",Supply a self-contained package and compile cleanly.,No
B04,Blocker,Submission hygiene,article and appendices,global,Hundreds of active amendment commands and author notes remain.,The source is not submission-ready and may expose internal comments.,Flatten revision markup and remove all author notes.,No
M01,Major,Method definition,article_v2(1).tex,"603-641,1009-1025","The nonlinear projection display is ordinary L2, while the theorem uses tau-weighted projections; projection spaces are also explained inconsistently.","Orthogonality, annihilation, and stability depend on the exact product and space.",Define analyzed weighted projection and implemented ordinary projection separately.,No
M02,Major,Scope,article_v2(1).tex,"652-669,1113-1120","The text says the lagged nonlinear form is analyzed, but the OSGS appendix analyzes a stationary current-residual Method-I form.",The theorem does not cover the stated lagged iteration.,Use method-specific scope language and separate solver from analyzed scheme.,No
M03,Major,Scope,osgs_appendix.tex,230-250,"The appendix says its projection choice matches the implementation, but only the unconstrained space matches; the product and parameters differ.",This overstates the theory-code correspondence.,Say it matches only in the projection space.,No
M04,Major,Operator scope,article and appendices,model; ASGS 18-26; OSGS 494-533,"The model permits a generic viscous projection, while proofs rely on the deviatoric-symmetric operator.",Norm definiteness and coercivity need a Korn-type property.,Restrict the theorem or state an explicit abstract coercivity assumption.,No
M05,Major,Hypotheses,article_v2(1).tex,850-1075,Theorems invoke blanket standing assumptions that include common and method-specific conditions ambiguously.,Readers cannot determine the exact theorem scope.,List exact hypothesis labels in every theorem.,No
M06,Major,Hypotheses,article_v2(1).tex,common data; 1044-1050,"The common penalty restriction is the stronger ASGS condition, although OSGS only needs epsilon tau2 <= C2.",OSGS inherits an unnecessary ASGS restriction.,Move the ASGS penalty bound to the ASGS-specific group.,No
M07,Major,Pressure normalization,article and appendices,weak form; ASGS 56-64; OSGS 514-533,Pressure-space conventions for epsilon=0 and epsilon>0 are inconsistent.,Norm definiteness and interpolation membership depend on the convention.,Adopt one zero-mean convention or rewrite all definitions consistently.,No
M08,Major,Interpolation,continuity_appendix(2).tex,912-924,The ASGS nodal pressure interpolant need not belong to the zero-mean pressure space.,The discrete error split may not be admissible for epsilon=0.,Reuse the OSGS mean-shift construction.,No
M09,Major,OSGS conditional constant,article/osgs appendix,"1052-1069; 255-272,565-590","Projection stability is assumed only h-uniform, but robustness language treats the final constant as parameter-uniform.",beta0 may deteriorate with weights and physical parameters.,Expose beta0 dependence and qualify robustness.,Optional diagnostic
M10,Major,OSGS mesh threshold,article/osgs appendix,"1052-1069; 404-444,565-590","The body understates h0 dependence; smoothing uses alpha0, nu, coefficient moduli, and size-surrogate regularity.",The theorem is not uniformly valid over parameter families.,State the full data dependence of h0.,No
M11,Major,Patch equivalence,osgs_appendix.tex,359-385,The additive Lipschitz estimate does not prove contrast-independent multiplicative porosity equivalence as written.,The smoothing and projection estimates use patchwise parameter equivalence.,Use the shared-vertex resolved-porosity proof and a data-dependent tau argument.,No
M12,Major,Regularity,article/osgs appendix,"O5; 448-489,843-970","The consistency proof applies global H^r approximation to a·grad u, but a is only continuous and elementwise smooth.",The product may lack the asserted global regularity.,"Assume global W^{ku,infty} advection or prove a broken approximation result.",No
M13,Major,ASGS proof,continuity_appendix(2).tex,443-465 and assembly,Continuity inequalities omit absolute values.,A continuity estimate must bound the modulus of the bilinear form.,Add absolute values consistently.,No
M14,Major,ASGS proof,continuity_appendix(2).tex,"601-621, final assembly","After T13=C+R and N=R+T2+T4+T11, the proof later uses |T13|+|N|.",This double-counts R and is not implied by the estimates.,Replace by |C|+|N| or regroup the signed sum.,No
M15,Major,OSGS/body inconsistency,article/osgs appendix,1226-1230; OSGS 1196-1231,The body L2-velocity equation omits the factor 1+c1/Da_h proved in the appendix.,The main theorem discussion is mathematically inconsistent with its corollary.,Insert the factor or label the equation as a Da_h >> c1 asymptotic.,No
M16,Major,OSGS interpretation,article/osgs appendix,"1086-1092,1150,1261-1288","The varying OSGS excess is treated as sqrt(1+Da_h), not sqrt(1+Da_h/c1) after fixed normalization.",The quantitative comparison with an observed factor near 3.5 is invalid.,Correct the factor and remove numerical prediction language.,No
M17,Major,Numerical logic,article_v2(1).tex,"1297,1309","The text says no continuation/Jacobian evidence exists, then asserts the branch folds and the fold recedes.",Solver failure/success does not establish a fold or root absence.,Report solver nonconvergence and first successful meshes only.,Only if fold claim retained
M18,Major,3D mass/penalty,article_v2(1).tex,1586-1594,"Pressure normalization, boundary-flux incompatibility, ill-posedness, and penalty regularization are conflated.",The stated mathematical explanation is incorrect.,Rewrite the paragraph to separate the four issues.,No
M19,Major,Robustness,article_v2(1).tex,"235,1148-1230,1816-1818",Robustness is claimed too broadly despite OSGS beta0/h0 dependence and reaction energy factors.,Theorems provide component- and regime-specific conditional bounds.,Use parameter-explicit and conditional wording.,No
M20,Major,Porosity dependence,article_v2(1).tex,"1163,1818","The conclusion says constants degrade at worst alpha0^-1/2 except one term, ignoring hidden C_alpha,m, beta0, h0, and solution norms.",The global claim is not supported.,Restrict the statement to explicit principal weights.,No
A01,Moderate,Mesh assumptions,article_v2(1).tex,A1 and 1148,"Only local quasi-uniformity is assumed, but robustness says global quasi-uniformity is assumed throughout.",Single-h rate reductions need a global assumption.,Add it only to the relevant corollaries or retain local sums.,No
A02,Moderate,Notation,article/osgs appendix,"O3, 387-443",h_K denotes both geometric diameter and a stabilization-length surrogate.,The smoothing proof and dimensionless numbers become ambiguous.,Introduce ell_K with ell_K comparable to h_K.,No
A03,Moderate,Smoothing assumption,article/osgs appendix,O3; 404-443,Relative oscillation of the continuous size surrogate is used but not stated.,psi(h)->0 is not justified from the listed assumptions alone.,Add an explicit omega_chi(h) assumption.,No
A04,Moderate,Dimensional consistency,article/osgs appendix,O4-O5; 255-272,Derivative bounds for alpha and advection omit reference-length powers.,Constants are dimensioned unless coordinates are declared nondimensional.,State nondimensional coordinates or insert L^j factors.,No
